"purchaseorderid","purchaseorderdetailid","duedate","orderqty","productid","unitprice","receivedqty","rejectedqty","modifieddate"
1215,2747,2013-12-04 00:00:00.000,3,435,37.1805,3.00,0.00,2013-11-27 00:00:00.000
1215,2748,2013-12-04 00:00:00.000,3,436,41.454,3.00,0.00,2013-11-27 00:00:00.000
1215,2749,2013-12-04 00:00:00.000,3,437,37.1805,3.00,0.00,2013-11-27 00:00:00.000
1216,2750,2013-12-04 00:00:00.000,3,490,12.7155,3.00,0.00,2013-11-27 00:00:00.000
1216,2751,2013-12-04 00:00:00.000,3,491,19.9395,3.00,0.00,2013-11-27 00:00:00.000
1217,2752,2013-12-04 00:00:00.000,3,528,38.157,3.00,0.00,2013-11-27 00:00:00.000
1218,2753,2013-12-04 00:00:00.000,3,505,44.2155,3.00,0.00,2013-11-27 00:00:00.000
1219,2754,2013-12-04 00:00:00.000,550,938,31.4895,550.00,0.00,2013-11-27 00:00:00.000
1219,2755,2013-12-04 00:00:00.000,550,939,48.2895,550.00,0.00,2013-11-27 00:00:00.000
1220,2756,2013-12-04 00:00:00.000,60,358,6.9825,60.00,0.00,2013-11-27 00:00:00.000
1221,2757,2013-12-05 00:00:00.000,3,377,43.2705,3.00,0.00,2013-11-28 00:00:00.000
1221,2758,2013-12-05 00:00:00.000,3,378,41.1705,3.00,0.00,2013-11-28 00:00:00.000
1221,2759,2013-12-05 00:00:00.000,3,379,45.444,3.00,0.00,2013-11-28 00:00:00.000
1221,2760,2013-12-05 00:00:00.000,3,380,41.1705,3.00,0.00,2013-11-28 00:00:00.000
1222,2761,2013-12-05 00:00:00.000,60,356,3.381,60.00,9.00,2013-11-28 00:00:00.000
1222,2762,2013-12-05 00:00:00.000,60,357,4.3155,60.00,0.00,2013-11-28 00:00:00.000
1223,2763,2013-12-05 00:00:00.000,3,393,39.0705,3.00,0.00,2013-11-28 00:00:00.000
1223,2764,2013-12-05 00:00:00.000,3,394,43.344,3.00,0.00,2013-11-28 00:00:00.000
1223,2765,2013-12-05 00:00:00.000,3,395,39.0705,3.00,0.00,2013-11-28 00:00:00.000
1224,2766,2013-12-05 00:00:00.000,3,490,12.3585,3.00,0.00,2013-11-28 00:00:00.000
1225,2767,2013-12-06 00:00:00.000,550,513,39.1965,550.00,0.00,2013-11-29 00:00:00.000
1226,2768,2013-12-06 00:00:00.000,3,403,45.444,3.00,0.00,2013-11-29 00:00:00.000
1226,2769,2013-12-06 00:00:00.000,3,404,41.1705,3.00,0.00,2013-11-29 00:00:00.000
1226,2770,2013-12-06 00:00:00.000,3,405,39.0705,3.00,0.00,2013-11-29 00:00:00.000
1226,2771,2013-12-06 00:00:00.000,3,406,43.344,3.00,0.00,2013-11-29 00:00:00.000
1227,2772,2013-12-06 00:00:00.000,550,931,34.8705,550.00,0.00,2013-11-29 00:00:00.000
1227,2773,2013-12-06 00:00:00.000,550,932,39.7635,550.00,0.00,2013-11-29 00:00:00.000
1227,2774,2013-12-06 00:00:00.000,550,933,43.9845,550.00,0.00,2013-11-29 00:00:00.000
1227,2775,2013-12-06 00:00:00.000,550,934,38.1465,550.00,0.00,2013-11-29 00:00:00.000
1228,2776,2013-12-06 00:00:00.000,3,437,37.1805,3.00,0.00,2013-11-29 00:00:00.000
1229,2777,2013-12-06 00:00:00.000,3,347,43.3755,3.00,0.00,2013-11-29 00:00:00.000
1229,2778,2013-12-06 00:00:00.000,3,348,41.2755,3.00,0.00,2013-11-29 00:00:00.000
1229,2779,2013-12-06 00:00:00.000,3,349,45.549,3.00,0.00,2013-11-29 00:00:00.000
1230,2780,2013-12-06 00:00:00.000,550,931,34.3455,550.00,0.00,2013-11-29 00:00:00.000
1230,2781,2013-12-06 00:00:00.000,550,932,39.2385,550.00,55.00,2013-11-29 00:00:00.000
1231,2782,2013-12-06 00:00:00.000,3,349,45.444,3.00,0.00,2013-11-29 00:00:00.000
1232,2783,2013-12-06 00:00:00.000,550,928,32.7705,550.00,82.00,2013-11-29 00:00:00.000
1232,2784,2013-12-06 00:00:00.000,550,929,37.086,550.00,0.00,2013-11-29 00:00:00.000
1233,2785,2013-12-06 00:00:00.000,550,332,10.815,550.00,0.00,2013-11-29 00:00:00.000
1234,2786,2013-12-06 00:00:00.000,550,948,82.8345,550.00,0.00,2013-11-29 00:00:00.000
1234,2787,2013-12-06 00:00:00.000,550,907,82.8345,550.00,0.00,2013-11-29 00:00:00.000
1235,2788,2013-12-06 00:00:00.000,1250,325,0.21,1250.00,0.00,2013-11-29 00:00:00.000
1235,2789,2013-12-06 00:00:00.000,1250,326,0.21,1188.00,0.00,2013-11-29 00:00:00.000
1236,2790,2013-12-06 00:00:00.000,3,320,49.644,3.00,0.00,2013-11-29 00:00:00.000
1236,2791,2013-12-06 00:00:00.000,3,321,44.3205,3.00,0.00,2013-11-29 00:00:00.000
1236,2792,2013-12-06 00:00:00.000,60,322,28.6965,60.00,0.00,2013-11-29 00:00:00.000
1237,2793,2013-12-06 00:00:00.000,550,930,42.5145,550.00,0.00,2013-11-29 00:00:00.000
1237,2794,2013-12-06 00:00:00.000,550,921,5.586,550.00,0.00,2013-11-29 00:00:00.000
1238,2795,2013-12-06 00:00:00.000,60,952,15.7395,60.00,0.00,2013-11-29 00:00:00.000
1239,2796,2013-12-06 00:00:00.000,550,923,6.1845,550.00,0.00,2013-11-29 00:00:00.000
1240,2797,2013-12-06 00:00:00.000,550,317,29.5785,550.00,0.00,2013-11-29 00:00:00.000
1240,2798,2013-12-06 00:00:00.000,550,318,36.099,550.00,55.00,2013-11-29 00:00:00.000
1240,2799,2013-12-06 00:00:00.000,550,319,48.5835,550.00,0.00,2013-11-29 00:00:00.000
1241,2800,2013-12-09 00:00:00.000,550,928,32.2455,550.00,0.00,2013-12-02 00:00:00.000
1241,2801,2013-12-09 00:00:00.000,550,929,36.561,550.00,0.00,2013-12-02 00:00:00.000
1242,2802,2013-12-09 00:00:00.000,550,319,46.4205,550.00,82.00,2013-12-02 00:00:00.000
1243,2803,2013-12-09 00:00:00.000,3,361,49.6965,3.00,0.00,2013-12-02 00:00:00.000
1243,2804,2013-12-09 00:00:00.000,3,362,45.423,3.00,0.00,2013-12-02 00:00:00.000
1243,2805,2013-12-09 00:00:00.000,3,363,43.323,3.00,0.00,2013-12-02 00:00:00.000
1244,2806,2013-12-09 00:00:00.000,3,2,41.916,3.00,0.00,2013-12-02 00:00:00.000
1245,2807,2013-12-09 00:00:00.000,3,1,50.2635,3.00,0.00,2013-12-02 00:00:00.000
1246,2808,2013-12-09 00:00:00.000,3,372,37.1805,3.00,0.00,2013-12-02 00:00:00.000
1246,2809,2013-12-09 00:00:00.000,3,373,41.454,3.00,0.00,2013-12-02 00:00:00.000
1246,2810,2013-12-09 00:00:00.000,3,374,37.1805,3.00,0.00,2013-12-02 00:00:00.000
1247,2811,2013-12-09 00:00:00.000,550,530,16.086,550.00,0.00,2013-12-02 00:00:00.000
1248,2812,2013-12-09 00:00:00.000,3,4,57.0255,3.00,0.00,2013-12-02 00:00:00.000
1249,2813,2013-12-09 00:00:00.000,550,512,37.086,550.00,0.00,2013-12-02 00:00:00.000
1250,2814,2013-12-09 00:00:00.000,550,513,26.5965,550.00,0.00,2013-12-02 00:00:00.000
1251,2815,2013-12-09 00:00:00.000,550,319,46.0635,550.00,0.00,2013-12-02 00:00:00.000
1252,2816,2013-12-09 00:00:00.000,3,420,39.144,3.00,0.00,2013-12-02 00:00:00.000
1252,2817,2013-12-09 00:00:00.000,3,421,47.5755,3.00,0.00,2013-12-02 00:00:00.000
1253,2818,2013-12-09 00:00:00.000,3,424,49.6965,3.00,0.00,2013-12-02 00:00:00.000
1253,2819,2013-12-09 00:00:00.000,3,425,45.423,3.00,0.00,2013-12-02 00:00:00.000
1253,2820,2013-12-09 00:00:00.000,3,426,43.323,3.00,0.00,2013-12-02 00:00:00.000
1254,2821,2013-12-09 00:00:00.000,3,320,47.4705,3.00,0.00,2013-12-02 00:00:00.000
1254,2822,2013-12-09 00:00:00.000,3,321,42.798,3.00,0.00,2013-12-02 00:00:00.000
1255,2823,2013-12-09 00:00:00.000,3,438,41.223,3.00,0.00,2013-12-02 00:00:00.000
1255,2824,2013-12-09 00:00:00.000,3,439,45.4965,3.00,0.00,2013-12-02 00:00:00.000
1255,2825,2013-12-09 00:00:00.000,3,440,41.223,3.00,0.00,2013-12-02 00:00:00.000
1255,2826,2013-12-09 00:00:00.000,3,441,39.123,3.00,0.00,2013-12-02 00:00:00.000
1255,2827,2013-12-09 00:00:00.000,3,442,43.3965,3.00,0.00,2013-12-02 00:00:00.000
1255,2828,2013-12-09 00:00:00.000,3,443,39.123,3.00,0.00,2013-12-02 00:00:00.000
1255,2829,2013-12-09 00:00:00.000,3,444,37.023,3.00,0.00,2013-12-02 00:00:00.000
1255,2830,2013-12-09 00:00:00.000,3,445,41.2965,3.00,0.00,2013-12-02 00:00:00.000
1255,2831,2013-12-09 00:00:00.000,3,446,37.023,3.00,0.00,2013-12-02 00:00:00.000
1255,2832,2013-12-09 00:00:00.000,3,447,47.6805,3.00,0.00,2013-12-02 00:00:00.000
1255,2833,2013-12-09 00:00:00.000,3,448,45.5805,3.00,0.00,2013-12-02 00:00:00.000
1255,2834,2013-12-09 00:00:00.000,3,449,49.854,3.00,0.00,2013-12-02 00:00:00.000
1255,2835,2013-12-09 00:00:00.000,3,450,45.5805,3.00,0.00,2013-12-02 00:00:00.000
1255,2836,2013-12-09 00:00:00.000,3,451,43.4805,3.00,0.00,2013-12-02 00:00:00.000
1255,2837,2013-12-09 00:00:00.000,3,452,47.754,3.00,0.00,2013-12-02 00:00:00.000
1255,2838,2013-12-09 00:00:00.000,3,453,43.4805,3.00,0.00,2013-12-02 00:00:00.000
1255,2839,2013-12-09 00:00:00.000,3,454,41.3805,3.00,0.00,2013-12-02 00:00:00.000
1255,2840,2013-12-09 00:00:00.000,3,455,45.654,3.00,0.00,2013-12-02 00:00:00.000
1255,2841,2013-12-09 00:00:00.000,3,456,41.3805,3.00,0.00,2013-12-02 00:00:00.000
1255,2842,2013-12-09 00:00:00.000,3,457,39.2805,3.00,0.00,2013-12-02 00:00:00.000
1255,2843,2013-12-09 00:00:00.000,3,458,43.554,3.00,0.00,2013-12-02 00:00:00.000
1255,2844,2013-12-09 00:00:00.000,3,459,39.2805,3.00,0.00,2013-12-02 00:00:00.000
1255,2845,2013-12-09 00:00:00.000,3,460,37.1805,3.00,0.00,2013-12-02 00:00:00.000
1255,2846,2013-12-09 00:00:00.000,3,461,41.454,3.00,0.00,2013-12-02 00:00:00.000
1256,2847,2013-12-09 00:00:00.000,550,941,62.9895,468.00,0.00,2013-12-02 00:00:00.000
1257,2848,2013-12-10 00:00:00.000,3,320,45.3705,3.00,0.00,2013-12-03 00:00:00.000
1257,2849,2013-12-10 00:00:00.000,3,321,40.488,3.00,0.00,2013-12-03 00:00:00.000
1257,2850,2013-12-10 00:00:00.000,60,322,26.3655,60.00,0.00,2013-12-03 00:00:00.000
1258,2851,2013-12-10 00:00:00.000,3,504,48.762,3.00,0.00,2013-12-03 00:00:00.000
1259,2852,2013-12-10 00:00:00.000,3,497,34.188,3.00,0.00,2013-12-03 00:00:00.000
1260,2853,2013-12-10 00:00:00.000,3,323,50.2635,3.00,0.00,2013-12-03 00:00:00.000
1261,2854,2013-12-10 00:00:00.000,550,523,10.731,550.00,0.00,2013-12-03 00:00:00.000
1261,2855,2013-12-10 00:00:00.000,550,524,14.1225,550.00,0.00,2013-12-03 00:00:00.000
1262,2856,2013-12-10 00:00:00.000,60,492,50.2635,60.00,9.00,2013-12-03 00:00:00.000
1262,2857,2013-12-10 00:00:00.000,60,493,57.1515,60.00,0.00,2013-12-03 00:00:00.000
1263,2858,2013-12-10 00:00:00.000,550,910,40.9395,550.00,0.00,2013-12-03 00:00:00.000
1263,2859,2013-12-10 00:00:00.000,550,911,21.0945,550.00,0.00,2013-12-03 00:00:00.000
1263,2860,2013-12-10 00:00:00.000,550,912,30.4395,550.00,0.00,2013-12-03 00:00:00.000
1264,2861,2013-12-10 00:00:00.000,60,506,9.198,60.00,0.00,2013-12-03 00:00:00.000
1265,2862,2013-12-11 00:00:00.000,550,351,5.775,550.00,0.00,2013-12-04 00:00:00.000
1265,2863,2013-12-11 00:00:00.000,550,352,1.155,523.00,0.00,2013-12-04 00:00:00.000
1265,2864,2013-12-11 00:00:00.000,550,679,5.775,550.00,0.00,2013-12-04 00:00:00.000
1266,2865,2013-12-11 00:00:00.000,550,507,23.394,468.00,0.00,2013-12-04 00:00:00.000
1266,2866,2013-12-11 00:00:00.000,550,508,27.6465,550.00,0.00,2013-12-04 00:00:00.000
1267,2867,2013-12-11 00:00:00.000,550,355,1.365,550.00,0.00,2013-12-04 00:00:00.000
1267,2868,2013-12-11 00:00:00.000,550,940,62.9895,550.00,0.00,2013-12-04 00:00:00.000
1267,2869,2013-12-11 00:00:00.000,550,535,3.486,550.00,0.00,2013-12-04 00:00:00.000
1268,2870,2013-12-11 00:00:00.000,550,351,6.195,550.00,0.00,2013-12-04 00:00:00.000
1268,2871,2013-12-11 00:00:00.000,550,352,1.47,550.00,0.00,2013-12-04 00:00:00.000
1268,2872,2013-12-11 00:00:00.000,550,679,6.195,550.00,0.00,2013-12-04 00:00:00.000
1269,2873,2013-12-11 00:00:00.000,550,507,22.1655,550.00,0.00,2013-12-04 00:00:00.000
1269,2874,2013-12-11 00:00:00.000,550,508,29.2845,550.00,0.00,2013-12-04 00:00:00.000
1270,2875,2013-12-11 00:00:00.000,3,491,19.9815,3.00,0.00,2013-12-04 00:00:00.000
1271,2876,2013-12-11 00:00:00.000,3,341,41.1705,3.00,0.00,2013-12-04 00:00:00.000
1271,2877,2013-12-11 00:00:00.000,3,342,39.0705,3.00,0.00,2013-12-04 00:00:00.000
1271,2878,2013-12-11 00:00:00.000,3,343,43.344,3.00,0.00,2013-12-04 00:00:00.000
1271,2879,2013-12-11 00:00:00.000,3,344,39.0705,3.00,0.00,2013-12-04 00:00:00.000
1272,2880,2013-12-11 00:00:00.000,550,935,31.4895,550.00,82.00,2013-12-04 00:00:00.000
1272,2881,2013-12-11 00:00:00.000,550,936,48.2895,550.00,0.00,2013-12-04 00:00:00.000
1273,2882,2013-12-11 00:00:00.000,3,377,36.9705,3.00,0.00,2013-12-04 00:00:00.000
1273,2883,2013-12-11 00:00:00.000,3,378,41.244,3.00,0.00,2013-12-04 00:00:00.000
1273,2884,2013-12-11 00:00:00.000,3,379,36.9705,3.00,0.00,2013-12-04 00:00:00.000
1274,2885,2013-12-11 00:00:00.000,550,476,15.8865,550.00,0.00,2013-12-04 00:00:00.000
1274,2886,2013-12-11 00:00:00.000,550,477,11.6655,550.00,0.00,2013-12-04 00:00:00.000
1275,2887,2013-12-11 00:00:00.000,3,402,47.4705,3.00,0.00,2013-12-04 00:00:00.000
1276,2888,2013-12-11 00:00:00.000,550,510,23.079,468.00,0.00,2013-12-04 00:00:00.000
1276,2889,2013-12-11 00:00:00.000,550,511,29.274,550.00,0.00,2013-12-04 00:00:00.000
1276,2890,2013-12-11 00:00:00.000,550,512,34.9755,550.00,0.00,2013-12-04 00:00:00.000
1277,2891,2013-12-11 00:00:00.000,3,403,45.3705,3.00,0.00,2013-12-04 00:00:00.000
1277,2892,2013-12-11 00:00:00.000,3,404,49.644,3.00,0.00,2013-12-04 00:00:00.000
1277,2893,2013-12-11 00:00:00.000,3,405,45.3705,3.00,0.00,2013-12-04 00:00:00.000
1277,2894,2013-12-11 00:00:00.000,3,406,43.2705,3.00,0.00,2013-12-04 00:00:00.000
1277,2895,2013-12-11 00:00:00.000,3,407,47.544,3.00,0.00,2013-12-04 00:00:00.000
1277,2896,2013-12-11 00:00:00.000,3,408,43.2705,3.00,0.00,2013-12-04 00:00:00.000
1278,2897,2013-12-11 00:00:00.000,550,525,2.3205,550.00,0.00,2013-12-04 00:00:00.000
1279,2898,2013-12-11 00:00:00.000,550,526,3.6435,550.00,0.00,2013-12-04 00:00:00.000
1280,2899,2013-12-11 00:00:00.000,550,908,21.0945,550.00,0.00,2013-12-04 00:00:00.000
1280,2900,2013-12-11 00:00:00.000,550,909,30.4395,550.00,55.00,2013-12-04 00:00:00.000
1280,2901,2013-12-11 00:00:00.000,550,913,40.9395,550.00,0.00,2013-12-04 00:00:00.000
1281,2902,2013-12-12 00:00:00.000,60,356,3.6015,60.00,0.00,2013-12-05 00:00:00.000
1281,2903,2013-12-12 00:00:00.000,60,357,3.9795,60.00,0.00,2013-12-05 00:00:00.000
1282,2904,2013-12-12 00:00:00.000,550,935,31.4895,550.00,82.00,2013-12-05 00:00:00.000
1282,2905,2013-12-12 00:00:00.000,550,936,48.2895,550.00,0.00,2013-12-05 00:00:00.000
1283,2906,2013-12-12 00:00:00.000,550,524,12.9675,550.00,0.00,2013-12-05 00:00:00.000
1284,2907,2013-12-12 00:00:00.000,550,911,21.0945,550.00,0.00,2013-12-05 00:00:00.000
1284,2908,2013-12-12 00:00:00.000,550,912,30.4395,550.00,0.00,2013-12-05 00:00:00.000
1285,2909,2013-12-12 00:00:00.000,550,910,40.9395,550.00,0.00,2013-12-05 00:00:00.000
1286,2910,2013-12-12 00:00:00.000,550,937,62.9895,468.00,0.00,2013-12-05 00:00:00.000
1287,2911,2013-12-12 00:00:00.000,3,463,47.523,3.00,0.00,2013-12-05 00:00:00.000
1287,2912,2013-12-12 00:00:00.000,3,464,45.423,3.00,0.00,2013-12-05 00:00:00.000
1287,2913,2013-12-12 00:00:00.000,3,465,49.6965,3.00,0.00,2013-12-05 00:00:00.000
1287,2914,2013-12-12 00:00:00.000,3,466,45.423,3.00,0.00,2013-12-05 00:00:00.000
1287,2915,2013-12-12 00:00:00.000,3,467,43.323,3.00,0.00,2013-12-05 00:00:00.000
1287,2916,2013-12-12 00:00:00.000,3,468,47.5965,3.00,0.00,2013-12-05 00:00:00.000
1288,2917,2013-12-12 00:00:00.000,3,462,47.6805,3.00,0.00,2013-12-05 00:00:00.000
1289,2918,2013-12-12 00:00:00.000,550,510,23.4045,550.00,0.00,2013-12-05 00:00:00.000
1289,2919,2013-12-12 00:00:00.000,550,511,27.867,550.00,0.00,2013-12-05 00:00:00.000
1290,2920,2013-12-12 00:00:00.000,550,527,6.7515,550.00,0.00,2013-12-05 00:00:00.000
1291,2921,2013-12-12 00:00:00.000,550,509,36.2775,550.00,0.00,2013-12-05 00:00:00.000
1292,2922,2013-12-12 00:00:00.000,60,492,50.7465,60.00,9.00,2013-12-05 00:00:00.000
1292,2923,2013-12-12 00:00:00.000,60,493,58.2645,60.00,0.00,2013-12-05 00:00:00.000
1293,2924,2013-12-12 00:00:00.000,550,523,10.3845,550.00,0.00,2013-12-05 00:00:00.000
1294,2925,2013-12-12 00:00:00.000,3,422,47.6805,3.00,0.00,2013-12-05 00:00:00.000
1294,2926,2013-12-12 00:00:00.000,3,423,45.5805,3.00,0.00,2013-12-05 00:00:00.000
1295,2927,2013-12-12 00:00:00.000,3,490,12.7155,3.00,0.00,2013-12-05 00:00:00.000
1295,2928,2013-12-12 00:00:00.000,3,491,19.9395,3.00,0.00,2013-12-05 00:00:00.000
1296,2929,2013-12-12 00:00:00.000,3,528,38.157,3.00,0.00,2013-12-05 00:00:00.000
1297,2930,2013-12-13 00:00:00.000,3,505,44.2155,3.00,0.00,2013-12-06 00:00:00.000
1298,2931,2013-12-13 00:00:00.000,550,938,31.4895,550.00,0.00,2013-12-06 00:00:00.000
1298,2932,2013-12-13 00:00:00.000,550,939,48.2895,550.00,0.00,2013-12-06 00:00:00.000
1299,2933,2013-12-13 00:00:00.000,60,358,6.9825,60.00,0.00,2013-12-06 00:00:00.000
1300,2934,2013-12-13 00:00:00.000,3,381,39.0705,3.00,0.00,2013-12-06 00:00:00.000
1300,2935,2013-12-13 00:00:00.000,3,438,47.6805,3.00,0.00,2013-12-06 00:00:00.000
1300,2936,2013-12-13 00:00:00.000,3,439,45.5805,3.00,0.00,2013-12-06 00:00:00.000
1301,2937,2013-12-13 00:00:00.000,60,356,3.381,60.00,0.00,2013-12-06 00:00:00.000
1301,2938,2013-12-13 00:00:00.000,60,357,4.3155,60.00,0.00,2013-12-06 00:00:00.000
1302,2939,2013-12-13 00:00:00.000,3,396,36.9705,3.00,0.00,2013-12-06 00:00:00.000
1302,2940,2013-12-13 00:00:00.000,3,397,41.244,3.00,0.00,2013-12-06 00:00:00.000
1303,2941,2013-12-13 00:00:00.000,3,490,12.3585,3.00,0.00,2013-12-06 00:00:00.000
1304,2942,2013-12-13 00:00:00.000,550,513,39.1965,550.00,550.00,2013-12-06 00:00:00.000
1305,2943,2013-12-13 00:00:00.000,3,407,39.0705,3.00,0.00,2013-12-06 00:00:00.000
1305,2944,2013-12-13 00:00:00.000,3,408,36.9705,3.00,0.00,2013-12-06 00:00:00.000
1305,2945,2013-12-13 00:00:00.000,3,409,41.244,3.00,0.00,2013-12-06 00:00:00.000
1305,2946,2013-12-13 00:00:00.000,3,410,36.9705,3.00,0.00,2013-12-06 00:00:00.000
1305,2947,2013-12-13 00:00:00.000,3,411,34.8705,3.00,0.00,2013-12-06 00:00:00.000
1305,2948,2013-12-13 00:00:00.000,3,412,39.144,3.00,0.00,2013-12-06 00:00:00.000
1305,2949,2013-12-13 00:00:00.000,3,413,47.5755,3.00,0.00,2013-12-06 00:00:00.000
1305,2950,2013-12-13 00:00:00.000,3,414,45.4755,3.00,0.00,2013-12-06 00:00:00.000
1305,2951,2013-12-13 00:00:00.000,3,415,49.749,3.00,0.00,2013-12-06 00:00:00.000
1305,2952,2013-12-13 00:00:00.000,3,416,45.4755,3.00,0.00,2013-12-06 00:00:00.000
1305,2953,2013-12-13 00:00:00.000,3,417,43.3755,3.00,0.00,2013-12-06 00:00:00.000
1305,2954,2013-12-13 00:00:00.000,3,418,47.649,3.00,0.00,2013-12-06 00:00:00.000
1305,2955,2013-12-13 00:00:00.000,3,419,43.3755,3.00,0.00,2013-12-06 00:00:00.000
1305,2956,2013-12-13 00:00:00.000,3,420,41.2755,3.00,0.00,2013-12-06 00:00:00.000
1305,2957,2013-12-13 00:00:00.000,3,421,45.549,3.00,0.00,2013-12-06 00:00:00.000
1306,2958,2013-12-13 00:00:00.000,550,931,34.8705,468.00,0.00,2013-12-06 00:00:00.000
1306,2959,2013-12-13 00:00:00.000,550,932,39.7635,550.00,0.00,2013-12-06 00:00:00.000
1306,2960,2013-12-13 00:00:00.000,550,933,43.9845,550.00,0.00,2013-12-06 00:00:00.000
1306,2961,2013-12-13 00:00:00.000,550,934,38.1465,550.00,0.00,2013-12-06 00:00:00.000
1307,2962,2013-12-13 00:00:00.000,3,422,47.6805,3.00,0.00,2013-12-06 00:00:00.000
1307,2963,2013-12-13 00:00:00.000,3,423,45.5805,3.00,0.00,2013-12-06 00:00:00.000
1307,2964,2013-12-13 00:00:00.000,3,424,49.854,3.00,0.00,2013-12-06 00:00:00.000
1307,2965,2013-12-13 00:00:00.000,3,425,45.5805,3.00,0.00,2013-12-06 00:00:00.000
1307,2966,2013-12-13 00:00:00.000,3,426,43.4805,3.00,0.00,2013-12-06 00:00:00.000
1307,2967,2013-12-13 00:00:00.000,3,427,47.754,3.00,0.00,2013-12-06 00:00:00.000
1308,2968,2013-12-13 00:00:00.000,3,341,47.5755,3.00,0.00,2013-12-06 00:00:00.000
1308,2969,2013-12-13 00:00:00.000,3,342,45.4755,3.00,0.00,2013-12-06 00:00:00.000
1308,2970,2013-12-13 00:00:00.000,3,343,49.749,3.00,0.00,2013-12-06 00:00:00.000
1308,2971,2013-12-13 00:00:00.000,3,344,45.4755,3.00,0.00,2013-12-06 00:00:00.000
1308,2972,2013-12-13 00:00:00.000,3,345,43.3755,3.00,0.00,2013-12-06 00:00:00.000
1309,2973,2013-12-13 00:00:00.000,550,931,34.3455,550.00,0.00,2013-12-06 00:00:00.000
1309,2974,2013-12-13 00:00:00.000,550,932,39.2385,550.00,0.00,2013-12-06 00:00:00.000
1310,2975,2013-12-13 00:00:00.000,3,341,47.4705,3.00,0.00,2013-12-06 00:00:00.000
1310,2976,2013-12-13 00:00:00.000,3,342,45.3705,3.00,0.00,2013-12-06 00:00:00.000
1310,2977,2013-12-13 00:00:00.000,3,343,49.644,3.00,0.00,2013-12-06 00:00:00.000
1311,2978,2013-12-13 00:00:00.000,550,930,43.0395,550.00,0.00,2013-12-06 00:00:00.000
1312,2979,2013-12-13 00:00:00.000,550,332,10.815,550.00,82.00,2013-12-06 00:00:00.000
1313,2980,2013-12-16 00:00:00.000,550,948,82.8345,550.00,0.00,2013-12-09 00:00:00.000
1313,2981,2013-12-16 00:00:00.000,550,907,82.8345,550.00,0.00,2013-12-09 00:00:00.000
1314,2982,2013-12-16 00:00:00.000,1250,325,0.21,1250.00,0.00,2013-12-09 00:00:00.000
1314,2983,2013-12-16 00:00:00.000,1250,326,0.21,1250.00,0.00,2013-12-09 00:00:00.000
1315,2984,2013-12-16 00:00:00.000,3,320,49.644,3.00,0.00,2013-12-09 00:00:00.000
1315,2985,2013-12-16 00:00:00.000,3,321,44.3205,3.00,0.00,2013-12-09 00:00:00.000
1315,2986,2013-12-16 00:00:00.000,60,322,28.6965,60.00,0.00,2013-12-09 00:00:00.000
1316,2987,2013-12-16 00:00:00.000,550,930,42.5145,468.00,0.00,2013-12-09 00:00:00.000
1316,2988,2013-12-16 00:00:00.000,550,921,5.586,550.00,0.00,2013-12-09 00:00:00.000
1317,2989,2013-12-16 00:00:00.000,60,952,15.7395,60.00,0.00,2013-12-09 00:00:00.000
1318,2990,2013-12-16 00:00:00.000,550,933,43.4595,550.00,0.00,2013-12-09 00:00:00.000
1318,2991,2013-12-16 00:00:00.000,550,934,37.6215,550.00,0.00,2013-12-09 00:00:00.000
1318,2992,2013-12-16 00:00:00.000,550,922,6.531,550.00,0.00,2013-12-09 00:00:00.000
1318,2993,2013-12-16 00:00:00.000,550,923,6.1845,550.00,0.00,2013-12-09 00:00:00.000
1319,2994,2013-12-16 00:00:00.000,550,317,29.5785,550.00,0.00,2013-12-09 00:00:00.000
1319,2995,2013-12-16 00:00:00.000,550,318,36.099,550.00,0.00,2013-12-09 00:00:00.000
1319,2996,2013-12-16 00:00:00.000,550,319,48.5835,550.00,0.00,2013-12-09 00:00:00.000
1320,2997,2013-12-16 00:00:00.000,550,928,32.2455,550.00,0.00,2013-12-09 00:00:00.000
1320,2998,2013-12-16 00:00:00.000,550,929,36.561,550.00,55.00,2013-12-09 00:00:00.000
1321,2999,2013-12-17 00:00:00.000,550,319,46.4205,550.00,0.00,2013-12-10 00:00:00.000
1322,3000,2013-12-17 00:00:00.000,3,364,47.5965,3.00,0.00,2013-12-10 00:00:00.000
1322,3001,2013-12-17 00:00:00.000,3,365,43.323,3.00,0.00,2013-12-10 00:00:00.000
1323,3002,2013-12-17 00:00:00.000,3,2,41.916,3.00,0.00,2013-12-10 00:00:00.000
1324,3003,2013-12-17 00:00:00.000,3,1,50.2635,3.00,0.00,2013-12-10 00:00:00.000
1325,3004,2013-12-18 00:00:00.000,3,359,47.6805,3.00,0.00,2013-12-11 00:00:00.000
1325,3005,2013-12-18 00:00:00.000,3,360,45.5805,3.00,0.00,2013-12-11 00:00:00.000
1325,3006,2013-12-18 00:00:00.000,3,361,49.854,3.00,0.00,2013-12-11 00:00:00.000
1325,3007,2013-12-18 00:00:00.000,3,362,45.5805,3.00,0.00,2013-12-11 00:00:00.000
1325,3008,2013-12-18 00:00:00.000,3,363,43.4805,3.00,0.00,2013-12-11 00:00:00.000
1325,3009,2013-12-18 00:00:00.000,3,364,47.754,3.00,0.00,2013-12-11 00:00:00.000
1325,3010,2013-12-18 00:00:00.000,3,365,43.4805,3.00,0.00,2013-12-11 00:00:00.000
