"purchaseorderid","revisionnumber","status","employeeid","vendorid","shipmethodid","orderdate","shipdate","subtotal","taxamt","freight","modifieddate"
470,4,4,254,1526,2,2013-08-07 00:00:00.000,2013-08-16 00:00:00.000,28199.325,2255.946,704.9831,2013-08-16 00:00:00.000
471,4,4,257,1644,1,2013-08-07 00:00:00.000,2013-08-16 00:00:00.000,3713.325,297.066,92.8331,2013-08-16 00:00:00.000
472,4,4,261,1680,5,2013-08-07 00:00:00.000,2013-08-16 00:00:00.000,43878.45,3510.276,1096.9613,2013-08-16 00:00:00.000
473,4,4,250,1584,5,2013-08-07 00:00:00.000,2013-08-16 00:00:00.000,9799.65,783.972,244.9913,2013-08-16 00:00:00.000
474,4,4,253,1620,5,2013-08-07 00:00:00.000,2013-08-16 00:00:00.000,5711.475,456.918,142.7869,2013-08-16 00:00:00.000
475,4,4,255,1666,4,2013-08-07 00:00:00.000,2013-08-16 00:00:00.000,1503.18,120.2544,37.5795,2013-08-16 00:00:00.000
476,4,4,256,1592,2,2013-08-07 00:00:00.000,2013-08-16 00:00:00.000,97.965,7.8372,2.4491,2013-08-16 00:00:00.000
477,4,4,259,1618,4,2013-08-07 00:00:00.000,2013-08-16 00:00:00.000,114.471,9.1577,2.8618,2013-08-16 00:00:00.000
478,4,4,260,1612,4,2013-08-07 00:00:00.000,2013-08-16 00:00:00.000,132.6465,10.6117,3.3162,2013-08-16 00:00:00.000
479,4,4,258,1586,5,2013-08-07 00:00:00.000,2013-08-16 00:00:00.000,43878.45,3510.276,1096.9613,2013-08-16 00:00:00.000
480,4,4,254,1500,1,2013-08-07 00:00:00.000,2013-08-16 00:00:00.000,418.95,33.516,10.4738,2013-08-16 00:00:00.000
481,4,4,252,1656,5,2013-08-08 00:00:00.000,2013-08-17 00:00:00.000,566.0865,45.2869,14.1522,2013-08-17 00:00:00.000
482,4,4,261,1572,1,2013-08-08 00:00:00.000,2013-08-17 00:00:00.000,461.79,36.9432,11.5448,2013-08-17 00:00:00.000
483,4,4,251,1562,4,2013-08-08 00:00:00.000,2013-08-17 00:00:00.000,377.055,30.1644,9.4264,2013-08-17 00:00:00.000
484,4,4,253,1662,2,2013-08-08 00:00:00.000,2013-08-17 00:00:00.000,37.0755,2.966,0.9269,2013-08-17 00:00:00.000
485,4,4,255,1682,4,2013-08-08 00:00:00.000,2013-08-17 00:00:00.000,21558.075,1724.646,538.9519,2013-08-17 00:00:00.000
486,4,4,256,1686,4,2013-08-08 00:00:00.000,2013-08-17 00:00:00.000,507.087,40.567,12.6772,2013-08-17 00:00:00.000
487,4,4,259,1684,5,2013-08-08 00:00:00.000,2013-08-17 00:00:00.000,86220.75,6897.66,2155.5188,2013-08-17 00:00:00.000
488,4,4,260,1534,5,2013-08-08 00:00:00.000,2013-08-17 00:00:00.000,696.528,55.7222,17.4132,2013-08-17 00:00:00.000
489,4,4,258,1614,4,2013-08-08 00:00:00.000,2013-08-17 00:00:00.000,663.453,53.0762,16.5863,2013-08-17 00:00:00.000
490,4,4,254,1588,5,2013-08-08 00:00:00.000,2013-08-17 00:00:00.000,40471.2,3237.696,1011.78,2013-08-17 00:00:00.000
491,4,4,257,1622,4,2013-08-08 00:00:00.000,2013-08-17 00:00:00.000,259.8435,20.7875,6.4961,2013-08-17 00:00:00.000
492,4,4,261,1632,5,2013-08-08 00:00:00.000,2013-08-17 00:00:00.000,38421.075,3073.686,960.5269,2013-08-17 00:00:00.000
493,4,4,251,1608,5,2013-08-08 00:00:00.000,2013-08-17 00:00:00.000,5948.25,475.86,148.7063,2013-08-17 00:00:00.000
494,4,4,253,1576,5,2013-08-08 00:00:00.000,2013-08-17 00:00:00.000,91117.95,7289.436,2277.9488,2013-08-17 00:00:00.000
495,4,4,255,1590,1,2013-08-08 00:00:00.000,2013-08-17 00:00:00.000,525,42,13.125,2013-08-17 00:00:00.000
496,4,4,256,1514,5,2013-08-08 00:00:00.000,2013-08-17 00:00:00.000,2003.6835,160.2947,50.0921,2013-08-17 00:00:00.000
497,4,4,259,1498,4,2013-08-10 00:00:00.000,2013-08-19 00:00:00.000,26455.275,2116.422,661.3819,2013-08-19 00:00:00.000
498,4,4,260,1674,2,2013-08-10 00:00:00.000,2013-08-19 00:00:00.000,944.37,75.5496,23.6093,2013-08-19 00:00:00.000
499,4,4,258,1652,4,2013-08-10 00:00:00.000,2013-08-19 00:00:00.000,51588.075,4127.046,1289.7019,2013-08-19 00:00:00.000
500,4,4,254,1578,3,2013-08-10 00:00:00.000,2013-08-19 00:00:00.000,62843.55,5027.484,1571.0888,2013-08-19 00:00:00.000
501,4,4,257,1538,5,2013-08-10 00:00:00.000,2013-08-19 00:00:00.000,37843.575,3027.486,946.0894,2013-08-19 00:00:00.000
502,4,4,261,1556,4,2013-08-10 00:00:00.000,2013-08-19 00:00:00.000,25531.275,2042.502,638.2819,2013-08-19 00:00:00.000
503,4,4,251,1554,4,2013-08-10 00:00:00.000,2013-08-19 00:00:00.000,402.7275,32.2182,10.0682,2013-08-19 00:00:00.000
504,4,4,253,1688,4,2013-08-10 00:00:00.000,2013-08-19 00:00:00.000,125.748,10.0598,3.1437,2013-08-19 00:00:00.000
505,4,4,252,1580,5,2013-08-11 00:00:00.000,2013-08-20 00:00:00.000,150.7905,12.0632,3.7698,2013-08-20 00:00:00.000
506,4,4,256,1496,4,2013-08-11 00:00:00.000,2013-08-20 00:00:00.000,465.2865,37.2229,11.6322,2013-08-20 00:00:00.000
507,4,4,259,1494,2,2013-08-11 00:00:00.000,2013-08-20 00:00:00.000,8847.3,707.784,221.1825,2013-08-20 00:00:00.000
508,4,4,260,1650,5,2013-08-11 00:00:00.000,2013-08-20 00:00:00.000,171.0765,13.6861,4.2769,2013-08-20 00:00:00.000
509,4,4,258,1654,4,2013-08-11 00:00:00.000,2013-08-20 00:00:00.000,20397.3,1631.784,509.9325,2013-08-20 00:00:00.000
510,4,4,254,1664,3,2013-08-11 00:00:00.000,2013-08-20 00:00:00.000,14628.075,1170.246,365.7019,2013-08-20 00:00:00.000
511,4,4,257,1678,3,2013-08-11 00:00:00.000,2013-08-20 00:00:00.000,58685.55,4694.844,1467.1388,2013-08-20 00:00:00.000
512,4,4,261,1616,4,2013-08-11 00:00:00.000,2013-08-20 00:00:00.000,259.8435,20.7875,6.4961,2013-08-20 00:00:00.000
513,4,4,251,1492,4,2013-08-11 00:00:00.000,2013-08-20 00:00:00.000,402.7275,32.2182,10.0682,2013-08-20 00:00:00.000
514,4,4,253,1602,5,2013-08-11 00:00:00.000,2013-08-20 00:00:00.000,270.8055,21.6644,6.7701,2013-08-20 00:00:00.000
515,4,4,255,1540,4,2013-08-11 00:00:00.000,2013-08-20 00:00:00.000,2551.311,204.1049,63.7828,2013-08-20 00:00:00.000
516,4,4,252,1628,5,2013-08-11 00:00:00.000,2013-08-20 00:00:00.000,34644.225,2771.538,866.1056,2013-08-20 00:00:00.000
517,4,4,259,1604,4,2013-08-11 00:00:00.000,2013-08-20 00:00:00.000,1839.5055,147.1604,45.9876,2013-08-20 00:00:00.000
518,4,4,260,1690,5,2013-08-11 00:00:00.000,2013-08-20 00:00:00.000,146.286,11.7029,3.6572,2013-08-20 00:00:00.000
519,4,4,258,1566,5,2013-08-11 00:00:00.000,2013-08-20 00:00:00.000,102.564,8.2051,2.5641,2013-08-20 00:00:00.000
520,4,4,250,1698,5,2013-08-11 00:00:00.000,2013-08-20 00:00:00.000,150.7905,12.0632,3.7698,2013-08-20 00:00:00.000
521,4,4,257,1560,5,2013-08-12 00:00:00.000,2013-08-21 00:00:00.000,13669.425,1093.554,341.7356,2013-08-21 00:00:00.000
522,4,4,261,1692,5,2013-08-12 00:00:00.000,2013-08-21 00:00:00.000,6756.12,540.4896,168.903,2013-08-21 00:00:00.000
523,4,4,251,1696,5,2013-08-12 00:00:00.000,2013-08-21 00:00:00.000,50860.425,4068.834,1271.5106,2013-08-21 00:00:00.000
524,4,4,253,1504,1,2013-08-12 00:00:00.000,2013-08-21 00:00:00.000,551.88,44.1504,13.797,2013-08-21 00:00:00.000
525,4,4,255,1544,1,2013-08-12 00:00:00.000,2013-08-21 00:00:00.000,6987.75,559.02,174.6938,2013-08-21 00:00:00.000
526,4,4,256,1530,2,2013-08-12 00:00:00.000,2013-08-21 00:00:00.000,28072.275,2245.782,701.8069,2013-08-21 00:00:00.000
527,4,4,259,1508,1,2013-08-12 00:00:00.000,2013-08-21 00:00:00.000,37312.275,2984.982,932.8069,2013-08-21 00:00:00.000
528,4,4,260,1694,1,2013-08-12 00:00:00.000,2013-08-21 00:00:00.000,7623,609.84,190.575,2013-08-21 00:00:00.000
529,4,4,258,1624,2,2013-08-12 00:00:00.000,2013-08-21 00:00:00.000,28297.5,2263.8,707.4375,2013-08-21 00:00:00.000
530,4,4,254,1548,2,2013-08-12 00:00:00.000,2013-08-21 00:00:00.000,59.9445,4.7956,1.4986,2013-08-21 00:00:00.000
531,5,4,257,1598,5,2013-08-12 00:00:00.000,2013-08-21 00:00:00.000,222.0435,17.7635,5.5511,2013-08-21 00:00:00.000
532,4,4,261,1658,5,2013-08-12 00:00:00.000,2013-08-21 00:00:00.000,43878.45,3510.276,1096.9613,2013-08-21 00:00:00.000
533,4,4,251,1536,4,2013-08-12 00:00:00.000,2013-08-21 00:00:00.000,345.555,27.6444,8.6389,2013-08-21 00:00:00.000
534,4,4,253,1568,2,2013-08-12 00:00:00.000,2013-08-21 00:00:00.000,15153.6,1212.288,378.84,2013-08-21 00:00:00.000
535,4,4,255,1648,5,2013-08-12 00:00:00.000,2013-08-21 00:00:00.000,142.4115,11.3929,3.5603,2013-08-21 00:00:00.000
536,4,4,256,1646,2,2013-08-12 00:00:00.000,2013-08-21 00:00:00.000,48030.675,3842.454,1200.7669,2013-08-21 00:00:00.000
537,4,4,255,1530,2,2013-08-13 00:00:00.000,2013-08-22 00:00:00.000,28072.275,2245.782,701.8069,2013-08-22 00:00:00.000
538,4,4,256,1508,1,2013-08-13 00:00:00.000,2013-08-22 00:00:00.000,37312.275,2984.982,932.8069,2013-08-22 00:00:00.000
539,4,4,259,1694,1,2013-08-13 00:00:00.000,2013-08-22 00:00:00.000,7623,609.84,190.575,2013-08-22 00:00:00.000
540,4,4,260,1624,2,2013-08-13 00:00:00.000,2013-08-22 00:00:00.000,28297.5,2263.8,707.4375,2013-08-22 00:00:00.000
541,4,4,259,1672,4,2013-08-13 00:00:00.000,2013-08-22 00:00:00.000,550.9665,44.0773,13.7742,2013-08-22 00:00:00.000
542,4,4,250,1600,1,2013-08-13 00:00:00.000,2013-08-22 00:00:00.000,1276.275,102.102,31.9069,2013-08-22 00:00:00.000
543,4,4,258,1522,1,2013-08-13 00:00:00.000,2013-08-22 00:00:00.000,2003.925,160.314,50.0981,2013-08-22 00:00:00.000
544,4,4,254,1570,2,2013-08-13 00:00:00.000,2013-08-22 00:00:00.000,28343.7,2267.496,708.5925,2013-08-22 00:00:00.000
545,4,4,257,1516,1,2013-08-13 00:00:00.000,2013-08-22 00:00:00.000,454.86,36.3888,11.3715,2013-08-22 00:00:00.000
546,4,4,261,1506,5,2013-08-13 00:00:00.000,2013-08-22 00:00:00.000,43878.45,3510.276,1096.9613,2013-08-22 00:00:00.000
547,4,4,251,1626,2,2013-08-13 00:00:00.000,2013-08-22 00:00:00.000,7132.125,570.57,178.3031,2013-08-22 00:00:00.000
548,4,4,253,1542,2,2013-08-13 00:00:00.000,2013-08-22 00:00:00.000,28343.7,2267.496,708.5925,2013-08-22 00:00:00.000
549,4,4,255,1610,4,2013-08-13 00:00:00.000,2013-08-22 00:00:00.000,22516.725,1801.338,562.9181,2013-08-22 00:00:00.000
550,4,4,256,1638,5,2013-08-13 00:00:00.000,2013-08-22 00:00:00.000,34644.225,2771.538,866.1056,2013-08-22 00:00:00.000
551,4,4,259,1582,5,2013-08-13 00:00:00.000,2013-08-22 00:00:00.000,532.917,42.6334,13.3229,2013-08-22 00:00:00.000
552,4,4,260,1510,5,2013-08-13 00:00:00.000,2013-08-22 00:00:00.000,143.0415,11.4433,3.576,2013-08-22 00:00:00.000
553,4,4,250,1526,2,2013-08-13 00:00:00.000,2013-08-22 00:00:00.000,28199.325,2255.946,704.9831,2013-08-22 00:00:00.000
554,4,4,254,1644,1,2013-08-13 00:00:00.000,2013-08-22 00:00:00.000,3713.325,297.066,92.8331,2013-08-22 00:00:00.000
555,4,4,257,1680,4,2013-08-13 00:00:00.000,2013-08-22 00:00:00.000,19952.625,1596.21,498.8156,2013-08-22 00:00:00.000
556,4,4,261,1584,5,2013-08-13 00:00:00.000,2013-08-22 00:00:00.000,13361.04,1068.8832,334.026,2013-08-22 00:00:00.000
557,4,4,251,1620,5,2013-08-14 00:00:00.000,2013-08-23 00:00:00.000,5711.475,456.918,142.7869,2013-08-23 00:00:00.000
558,4,4,253,1666,5,2013-08-14 00:00:00.000,2013-08-23 00:00:00.000,696.528,55.7222,17.4132,2013-08-23 00:00:00.000
559,4,4,255,1592,2,2013-08-14 00:00:00.000,2013-08-23 00:00:00.000,97.965,7.8372,2.4491,2013-08-23 00:00:00.000
560,4,4,256,1618,4,2013-08-14 00:00:00.000,2013-08-23 00:00:00.000,114.471,9.1577,2.8618,2013-08-23 00:00:00.000
561,4,4,259,1612,4,2013-08-14 00:00:00.000,2013-08-23 00:00:00.000,132.6465,10.6117,3.3162,2013-08-23 00:00:00.000
562,4,4,260,1586,5,2013-08-14 00:00:00.000,2013-08-23 00:00:00.000,43878.45,3510.276,1096.9613,2013-08-23 00:00:00.000
563,4,4,258,1500,1,2013-08-14 00:00:00.000,2013-08-23 00:00:00.000,418.95,33.516,10.4738,2013-08-23 00:00:00.000
564,4,4,254,1656,4,2013-08-14 00:00:00.000,2013-08-23 00:00:00.000,273.7035,21.8963,6.8426,2013-08-23 00:00:00.000
565,4,4,257,1572,1,2013-08-14 00:00:00.000,2013-08-23 00:00:00.000,461.79,36.9432,11.5448,2013-08-23 00:00:00.000
566,4,4,261,1562,4,2013-08-14 00:00:00.000,2013-08-23 00:00:00.000,481.887,38.551,12.0472,2013-08-23 00:00:00.000
567,4,4,251,1662,2,2013-08-14 00:00:00.000,2013-08-23 00:00:00.000,37.0755,2.966,0.9269,2013-08-23 00:00:00.000
568,4,4,253,1682,4,2013-08-14 00:00:00.000,2013-08-23 00:00:00.000,21558.075,1724.646,538.9519,2013-08-23 00:00:00.000
569,4,4,255,1686,4,2013-08-14 00:00:00.000,2013-08-23 00:00:00.000,567.378,45.3902,14.1845,2013-08-23 00:00:00.000
570,4,4,256,1684,5,2013-08-14 00:00:00.000,2013-08-23 00:00:00.000,65240.175,5219.214,1631.0044,2013-08-23 00:00:00.000
571,4,4,252,1534,5,2013-08-14 00:00:00.000,2013-08-23 00:00:00.000,534.807,42.7846,13.3702,2013-08-23 00:00:00.000
572,4,4,260,1614,4,2013-08-14 00:00:00.000,2013-08-23 00:00:00.000,136.647,10.9318,3.4162,2013-08-23 00:00:00.000
573,4,4,258,1588,5,2013-08-15 00:00:00.000,2013-08-24 00:00:00.000,40471.2,3237.696,1011.78,2013-08-24 00:00:00.000
574,4,4,254,1622,5,2013-08-15 00:00:00.000,2013-08-24 00:00:00.000,278.523,22.2818,6.9631,2013-08-24 00:00:00.000
575,4,4,257,1632,4,2013-08-15 00:00:00.000,2013-08-24 00:00:00.000,23671.725,1893.738,591.7931,2013-08-24 00:00:00.000
576,4,4,261,1608,5,2013-08-15 00:00:00.000,2013-08-24 00:00:00.000,5948.25,475.86,148.7063,2013-08-24 00:00:00.000
577,4,4,250,1576,5,2013-08-15 00:00:00.000,2013-08-24 00:00:00.000,91117.95,7289.436,2277.9488,2013-08-24 00:00:00.000
578,4,4,253,1590,1,2013-08-15 00:00:00.000,2013-08-24 00:00:00.000,525,42,13.125,2013-08-24 00:00:00.000
579,4,4,255,1514,5,2013-08-15 00:00:00.000,2013-08-24 00:00:00.000,2003.6835,160.2947,50.0921,2013-08-24 00:00:00.000
580,4,4,256,1498,4,2013-08-15 00:00:00.000,2013-08-24 00:00:00.000,26455.275,2116.422,661.3819,2013-08-24 00:00:00.000
581,4,4,259,1674,2,2013-08-15 00:00:00.000,2013-08-24 00:00:00.000,944.37,75.5496,23.6093,2013-08-24 00:00:00.000
582,4,4,260,1652,4,2013-08-15 00:00:00.000,2013-08-24 00:00:00.000,44594.55,3567.564,1114.8638,2013-08-24 00:00:00.000
583,4,4,258,1578,3,2013-08-15 00:00:00.000,2013-08-24 00:00:00.000,62843.55,5027.484,1571.0888,2013-08-24 00:00:00.000
584,4,4,254,1538,5,2013-08-15 00:00:00.000,2013-08-24 00:00:00.000,37843.575,3027.486,946.0894,2013-08-24 00:00:00.000
585,4,4,252,1556,4,2013-08-15 00:00:00.000,2013-08-24 00:00:00.000,25531.275,2042.502,638.2819,2013-08-24 00:00:00.000
586,4,4,261,1554,4,2013-08-15 00:00:00.000,2013-08-24 00:00:00.000,501.1965,40.0957,12.5299,2013-08-24 00:00:00.000
587,4,4,251,1688,4,2013-08-15 00:00:00.000,2013-08-24 00:00:00.000,125.748,10.0598,3.1437,2013-08-24 00:00:00.000
588,4,4,253,1580,5,2013-08-15 00:00:00.000,2013-08-24 00:00:00.000,150.7905,12.0632,3.7698,2013-08-24 00:00:00.000
589,4,4,255,1496,5,2013-08-17 00:00:00.000,2013-08-26 00:00:00.000,696.528,55.7222,17.4132,2013-08-26 00:00:00.000
590,4,4,256,1494,2,2013-08-17 00:00:00.000,2013-08-26 00:00:00.000,8847.3,707.784,221.1825,2013-08-26 00:00:00.000
591,4,4,259,1650,5,2013-08-17 00:00:00.000,2013-08-26 00:00:00.000,171.0765,13.6861,4.2769,2013-08-26 00:00:00.000
592,4,4,260,1654,4,2013-08-17 00:00:00.000,2013-08-26 00:00:00.000,20397.3,1631.784,509.9325,2013-08-26 00:00:00.000
593,4,4,258,1664,3,2013-08-18 00:00:00.000,2013-08-27 00:00:00.000,14628.075,1170.246,365.7019,2013-08-27 00:00:00.000
594,4,4,254,1678,3,2013-08-18 00:00:00.000,2013-08-27 00:00:00.000,33350.625,2668.05,833.7656,2013-08-27 00:00:00.000
595,4,4,257,1616,4,2013-08-18 00:00:00.000,2013-08-27 00:00:00.000,1074.78,85.9824,26.8695,2013-08-27 00:00:00.000
596,4,4,261,1492,4,2013-08-18 00:00:00.000,2013-08-27 00:00:00.000,501.1965,40.0957,12.5299,2013-08-27 00:00:00.000
597,4,4,251,1602,5,2013-08-18 00:00:00.000,2013-08-27 00:00:00.000,1525.23,122.0184,38.1308,2013-08-27 00:00:00.000
598,4,4,253,1540,4,2013-08-18 00:00:00.000,2013-08-27 00:00:00.000,631.386,50.5109,15.7847,2013-08-27 00:00:00.000
599,4,4,255,1628,5,2013-08-18 00:00:00.000,2013-08-27 00:00:00.000,34644.225,2771.538,866.1056,2013-08-27 00:00:00.000
600,4,4,256,1604,4,2013-08-18 00:00:00.000,2013-08-27 00:00:00.000,1839.5055,147.1604,45.9876,2013-08-27 00:00:00.000
601,4,4,259,1690,5,2013-08-18 00:00:00.000,2013-08-27 00:00:00.000,146.286,11.7029,3.6572,2013-08-27 00:00:00.000
602,4,4,260,1566,5,2013-08-18 00:00:00.000,2013-08-27 00:00:00.000,102.564,8.2051,2.5641,2013-08-27 00:00:00.000
603,4,4,258,1698,5,2013-08-18 00:00:00.000,2013-08-27 00:00:00.000,150.7905,12.0632,3.7698,2013-08-27 00:00:00.000
604,4,4,254,1560,5,2013-08-18 00:00:00.000,2013-08-27 00:00:00.000,13669.425,1093.554,341.7356,2013-08-27 00:00:00.000
605,4,4,257,1692,5,2013-08-18 00:00:00.000,2013-08-27 00:00:00.000,16393.23,1311.4584,409.8308,2013-08-27 00:00:00.000
606,4,4,261,1696,5,2013-08-18 00:00:00.000,2013-08-27 00:00:00.000,39258.45,3140.676,981.4613,2013-08-27 00:00:00.000
607,4,4,251,1504,1,2013-08-18 00:00:00.000,2013-08-27 00:00:00.000,551.88,44.1504,13.797,2013-08-27 00:00:00.000
608,4,4,253,1544,1,2013-08-18 00:00:00.000,2013-08-27 00:00:00.000,6987.75,559.02,174.6938,2013-08-27 00:00:00.000
609,4,4,250,1548,2,2013-08-19 00:00:00.000,2013-08-28 00:00:00.000,59.9445,4.7956,1.4986,2013-08-28 00:00:00.000
610,4,4,254,1598,4,2013-08-19 00:00:00.000,2013-08-28 00:00:00.000,370.755,29.6604,9.2689,2013-08-28 00:00:00.000
611,4,4,257,1658,5,2013-08-19 00:00:00.000,2013-08-28 00:00:00.000,43878.45,3510.276,1096.9613,2013-08-28 00:00:00.000
612,4,4,261,1536,4,2013-08-19 00:00:00.000,2013-08-28 00:00:00.000,272.1285,21.7703,6.8032,2013-08-28 00:00:00.000
613,4,4,252,1530,2,2013-08-19 00:00:00.000,2013-08-28 00:00:00.000,28072.275,2245.782,701.8069,2013-08-28 00:00:00.000
614,5,4,256,1508,1,2013-08-19 00:00:00.000,2013-08-28 00:00:00.000,35394.975,2831.598,884.8744,2013-08-28 00:00:00.000
615,4,4,259,1694,1,2013-08-19 00:00:00.000,2013-08-28 00:00:00.000,7623,609.84,190.575,2013-08-28 00:00:00.000
616,4,4,260,1624,2,2013-08-19 00:00:00.000,2013-08-28 00:00:00.000,28297.5,2263.8,707.4375,2013-08-28 00:00:00.000
617,4,4,258,1548,2,2013-08-19 00:00:00.000,2013-08-28 00:00:00.000,59.9445,4.7956,1.4986,2013-08-28 00:00:00.000
618,4,4,254,1598,4,2013-08-19 00:00:00.000,2013-08-28 00:00:00.000,567.378,45.3902,14.1845,2013-08-28 00:00:00.000
619,4,4,257,1658,5,2013-08-19 00:00:00.000,2013-08-28 00:00:00.000,43878.45,3510.276,1096.9613,2013-08-28 00:00:00.000
620,4,4,261,1536,4,2013-08-19 00:00:00.000,2013-08-28 00:00:00.000,402.255,32.1804,10.0564,2013-08-28 00:00:00.000
621,4,4,251,1568,2,2013-08-19 00:00:00.000,2013-08-28 00:00:00.000,27350.4,2188.032,683.76,2013-08-28 00:00:00.000
622,4,4,253,1648,5,2013-08-19 00:00:00.000,2013-08-28 00:00:00.000,142.4115,11.3929,3.5603,2013-08-28 00:00:00.000
623,4,4,255,1646,2,2013-08-19 00:00:00.000,2013-08-28 00:00:00.000,48030.675,3842.454,1200.7669,2013-08-28 00:00:00.000
624,4,3,252,1672,5,2013-08-19 00:00:00.000,2013-08-28 00:00:00.000,272.4435,21.7955,6.8111,2013-08-28 00:00:00.000
625,4,4,259,1600,1,2013-08-19 00:00:00.000,2013-08-28 00:00:00.000,1276.275,102.102,31.9069,2013-08-28 00:00:00.000
626,4,4,260,1522,1,2013-08-19 00:00:00.000,2013-08-28 00:00:00.000,2003.925,160.314,50.0981,2013-08-28 00:00:00.000
627,4,4,258,1570,4,2013-08-19 00:00:00.000,2013-08-28 00:00:00.000,22516.725,1801.338,562.9181,2013-08-28 00:00:00.000
628,4,4,250,1516,1,2013-08-19 00:00:00.000,2013-08-28 00:00:00.000,454.86,36.3888,11.3715,2013-08-28 00:00:00.000
629,4,4,257,1506,5,2013-08-20 00:00:00.000,2013-08-29 00:00:00.000,43878.45,3510.276,1096.9613,2013-08-29 00:00:00.000
630,4,4,261,1626,2,2013-08-20 00:00:00.000,2013-08-29 00:00:00.000,7132.125,570.57,178.3031,2013-08-29 00:00:00.000
631,4,4,251,1542,2,2013-08-20 00:00:00.000,2013-08-29 00:00:00.000,28343.7,2267.496,708.5925,2013-08-29 00:00:00.000
632,4,4,253,1610,4,2013-08-20 00:00:00.000,2013-08-29 00:00:00.000,22516.725,1801.338,562.9181,2013-08-29 00:00:00.000
633,4,4,255,1638,5,2013-08-20 00:00:00.000,2013-08-29 00:00:00.000,34644.225,2771.538,866.1056,2013-08-29 00:00:00.000
634,4,4,256,1582,4,2013-08-20 00:00:00.000,2013-08-29 00:00:00.000,241.038,19.283,6.026,2013-08-29 00:00:00.000
635,4,4,259,1510,5,2013-08-20 00:00:00.000,2013-08-29 00:00:00.000,143.0415,11.4433,3.576,2013-08-29 00:00:00.000
636,4,4,260,1526,2,2013-08-20 00:00:00.000,2013-08-29 00:00:00.000,28199.325,2255.946,704.9831,2013-08-29 00:00:00.000
637,4,4,251,1568,1,2013-08-21 00:00:00.000,2013-08-30 00:00:00.000,26230.05,2098.404,655.7513,2013-08-30 00:00:00.000
638,4,4,253,1648,5,2013-08-21 00:00:00.000,2013-08-30 00:00:00.000,142.4115,11.3929,3.5603,2013-08-30 00:00:00.000
639,4,4,255,1646,2,2013-08-21 00:00:00.000,2013-08-30 00:00:00.000,48030.675,3842.454,1200.7669,2013-08-30 00:00:00.000
640,4,4,256,1672,4,2013-08-21 00:00:00.000,2013-08-30 00:00:00.000,28467.2115,2277.3769,711.6803,2013-08-30 00:00:00.000
641,4,4,258,1644,1,2013-08-21 00:00:00.000,2013-08-30 00:00:00.000,3713.325,297.066,92.8331,2013-08-30 00:00:00.000
642,4,4,254,1680,5,2013-08-21 00:00:00.000,2013-08-30 00:00:00.000,43878.45,3510.276,1096.9613,2013-08-30 00:00:00.000
643,4,4,257,1584,5,2013-08-21 00:00:00.000,2013-08-30 00:00:00.000,2979.27,238.3416,74.4818,2013-08-30 00:00:00.000
644,4,3,261,1620,5,2013-08-21 00:00:00.000,2013-08-30 00:00:00.000,5711.475,456.918,142.7869,2013-08-30 00:00:00.000
645,4,4,251,1666,5,2013-08-21 00:00:00.000,2013-08-30 00:00:00.000,1372.7385,109.8191,34.3185,2013-08-30 00:00:00.000
646,4,4,253,1592,2,2013-08-21 00:00:00.000,2013-08-30 00:00:00.000,97.965,7.8372,2.4491,2013-08-30 00:00:00.000
647,4,4,255,1618,4,2013-08-21 00:00:00.000,2013-08-30 00:00:00.000,114.471,9.1577,2.8618,2013-08-30 00:00:00.000
648,4,4,256,1612,4,2013-08-21 00:00:00.000,2013-08-30 00:00:00.000,132.6465,10.6117,3.3162,2013-08-30 00:00:00.000
649,4,4,259,1586,5,2013-08-21 00:00:00.000,2013-08-30 00:00:00.000,43878.45,3510.276,1096.9613,2013-08-30 00:00:00.000
650,4,4,250,1500,1,2013-08-21 00:00:00.000,2013-08-30 00:00:00.000,418.95,33.516,10.4738,2013-08-30 00:00:00.000
651,4,4,258,1656,4,2013-08-21 00:00:00.000,2013-08-30 00:00:00.000,515.6865,41.2549,12.8922,2013-08-30 00:00:00.000
652,4,4,254,1572,1,2013-08-21 00:00:00.000,2013-08-30 00:00:00.000,461.79,36.9432,11.5448,2013-08-30 00:00:00.000
653,4,4,257,1562,4,2013-08-21 00:00:00.000,2013-08-30 00:00:00.000,383.04,30.6432,9.576,2013-08-30 00:00:00.000
654,4,3,261,1662,2,2013-08-21 00:00:00.000,2013-08-30 00:00:00.000,37.0755,2.966,0.9269,2013-08-30 00:00:00.000
655,4,4,251,1682,4,2013-08-21 00:00:00.000,2013-08-30 00:00:00.000,21558.075,1724.646,538.9519,2013-08-30 00:00:00.000
656,4,4,253,1686,4,2013-08-21 00:00:00.000,2013-08-30 00:00:00.000,545.832,43.6666,13.6458,2013-08-30 00:00:00.000
657,4,4,255,1684,4,2013-08-22 00:00:00.000,2013-08-31 00:00:00.000,20980.575,1678.446,524.5144,2013-08-31 00:00:00.000
658,4,4,256,1534,4,2013-08-22 00:00:00.000,2013-08-31 00:00:00.000,602.028,48.1622,15.0507,2013-08-31 00:00:00.000
659,4,4,259,1614,5,2013-08-22 00:00:00.000,2013-08-31 00:00:00.000,694.953,55.5962,17.3738,2013-08-31 00:00:00.000
660,6,4,260,1588,5,2013-08-22 00:00:00.000,2013-08-31 00:00:00.000,40471.2,3237.696,1011.78,2013-08-31 00:00:00.000
